Feature,Mean_Absolute_SHAP
cat__city_Logan,0.0
cat__city_Lodz,0.0
cat__city_Livermore,0.0
cat__city_Little Rock,0.0
cat__city_Lisbon,0.0
cat__city_Linz,0.0
"cat__city_Lincoln, NE",0.0
cat__city_Lincoln,0.0
cat__city_Lima,0.0
cat__city_Lexington,0.0
"cat__city_Lehi, UT",0.0
cat__city_Lehi,0.0
cat__city_London,0.0
cat__city_Morrisville,0.0
cat__city_Montreal,0.0
cat__city_Montevideo,0.0
cat__city_Monterrey,0.0
cat__city_Missoula,0.0
cat__city_Minneapolis,0.0
cat__city_Minato,0.0
cat__city_Milwaukee,0.0
cat__city_Milpitas,0.0
"cat__city_Miami, FL",0.0
cat__city_Miami,0.0
